Representative,Time,Age,Congress Number,Original Legislative Efficiency,Modified Legislative Efficiency
Tom Petri,1979-04-03,38.84736482,96,1,1
Tom Petri,1981-01-03,40.60232717,97,3,3
Tom Petri,1983-01-03,42.60095825,98,2,2
Tom Petri,1985-01-03,44.60232717,99,2,2
Tom Petri,1987-01-03,46.60095825,100,1,1
Tom Petri,1989-01-03,48.60232717,101,1,1
Tom Petri,1991-01-03,50.60095825,102,2,2
Tom Petri,1993-01-03,52.60232717,103,1,1
Tom Petri,1995-01-03,54.60095825,104,1,1
Tom Petri,1997-01-03,56.60232717,105,1,1
Tom Petri,1999-01-03,58.60095825,106,1,1
Tom Petri,2001-01-03,60.60232717,107,1,1
Tom Petri,2003-01-03,62.60095825,108,1,1
Tom Petri,2005-01-03,64.60232717,109,1,1
Tom Petri,2007-01-03,66.60095825,110,1,1
Tom Petri,2009-01-03,68.60232717,111,1,1
Tom Petri,2011-01-03,70.60095825,112,1,1
Tom Petri,2013-01-03,72.60232717,113,1,1
Ralph Hall,1981-01-03,57.67282683,97,1,1
Ralph Hall,1983-01-03,59.67145791,98,1,1
Ralph Hall,1985-01-03,61.67282683,99,2,2
Ralph Hall,1987-01-03,63.67145791,100,1,1
Ralph Hall,1989-01-03,65.67282683,101,1,1
Ralph Hall,1991-01-03,67.67145791,102,1,1
Ralph Hall,1993-01-03,69.67282683,103,1,1
Ralph Hall,1995-01-03,71.67145791,104,1,1
Ralph Hall,1997-01-03,73.67282683,105,3,3
Ralph Hall,1999-01-03,75.67145791,106,1,1
Ralph Hall,2001-01-03,77.67282683,107,1,1
Ralph Hall,2003-01-03,79.67145791,108,1,1
Ralph Hall,2005-01-03,81.67282683,109,2,2
Ralph Hall,2007-01-03,83.67145791,110,2,2
Ralph Hall,2009-01-03,85.67282683,111,1,1
Ralph Hall,2011-01-03,87.67145791,112,2,2
Ralph Hall,2013-01-03,89.67282683,113,2,2
Frank Wolf,1981-01-03,41.92744695,97,3,3
Frank Wolf,1983-01-03,43.92607803,98,3,3
Frank Wolf,1985-01-03,45.92744695,99,2,2
Frank Wolf,1987-01-03,47.92607803,100,2,2
Frank Wolf,1989-01-03,49.92744695,101,3,3
Frank Wolf,1991-01-03,51.92607803,102,3,3
Frank Wolf,1993-01-03,53.92744695,103,2,2
Frank Wolf,1995-01-03,55.92607803,104,3,3
Frank Wolf,1997-01-03,57.92744695,105,3,3
Frank Wolf,1999-01-03,59.92607803,106,2,2
Frank Wolf,2001-01-03,61.92744695,107,2,2
Frank Wolf,2003-01-03,63.92607803,108,2,2
Frank Wolf,2005-01-03,65.92744695,109,2,2
Frank Wolf,2007-01-03,67.92607803,110,1,1
Frank Wolf,2009-01-03,69.92744695,111,1,1
Frank Wolf,2011-01-03,71.92607803,112,3,3
Frank Wolf,2013-01-03,73.92744695,113,3,3
Hal Rogers,1981-01-03,43.00889802,97,2,2
Hal Rogers,1983-01-03,45.00752909,98,1,1
Hal Rogers,1985-01-03,47.00889802,99,1,1
Hal Rogers,1987-01-03,49.00752909,100,1,1
Hal Rogers,1989-01-03,51.00889802,101,1,1
Hal Rogers,1991-01-03,53.00752909,102,1,1
Hal Rogers,1993-01-03,55.00889802,103,2,2
Hal Rogers,1995-01-03,57.00752909,104,2,2
Hal Rogers,1997-01-03,59.00889802,105,2,2
Hal Rogers,1999-01-03,61.00752909,106,2,2
Hal Rogers,2001-01-03,63.00889802,107,2,2
Hal Rogers,2003-01-03,65.00752909,108,2,2
Hal Rogers,2005-01-03,67.00889802,109,3,3
Hal Rogers,2007-01-03,69.00752909,110,1,1
Hal Rogers,2009-01-03,71.00889802,111,1,1
Hal Rogers,2011-01-03,73.00752909,112,2,2
Hal Rogers,2013-01-03,75.00889802,113,3,3
Hal Rogers,2015-01-03,77.00752909,114,2,2
Hal Rogers,2017-01-03,79.00889802,115,1,1
Hal Rogers,2019-01-03,81.00752909,116,1,1
Hal Rogers,2021-01-03,83.00889802,117,#N/A,1
Chris Smith,1981-01-03,27.83572895,97,2,2
Chris Smith,1983-01-03,29.83436003,98,1,1
Chris Smith,1985-01-03,31.83572895,99,2,2
Chris Smith,1987-01-03,33.83436003,100,2,2
Chris Smith,1989-01-03,35.83572895,101,3,3
Chris Smith,1991-01-03,37.83436003,102,2,2
Chris Smith,1993-01-03,39.83572895,103,2,2
Chris Smith,1995-01-03,41.83436003,104,2,2
